l1,l2,l3,l4,l5
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03115000-0 Рослинна сировина,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03115000-0 Рослинна сировина,03115120-7 Джут
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03115000-0 Рослинна сировина,03115130-0 Льон
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03116000-7 Натуральні каучук і латекс та пов’язана продукція,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03116000-7 Натуральні каучук і латекс та пов’язана продукція,03116100-8 Натуральний каучук
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва",03116000-7 Натуральні каучук і латекс та пов’язана продукція,03116300-0 Вироби з латексу
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва","03117000-4 Рослини, що використовуються у специфічних галузях",
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва","03117000-4 Рослини, що використовуються у специфічних галузях","03117100-5 Рослини, що використовуються у парфумерії чи фармацевтиці, або рослини інсектицидного чи подібного призначення"
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва","03117000-4 Рослини, що використовуються у специфічних галузях","03117110-8 Рослини, що використовуються у парфумерії"
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03110000-5 Сільськогосподарські культури, продукція товарного садівництва та рослинництва","03117000-4 Рослини, що використовуються у специфічних галузях","03117200-6 Насіння рослин, що використовується у специфічних галузях"
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03120000-8 Продукція рослинництва, у тому числі тепличного",,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03120000-8 Продукція рослинництва, у тому числі тепличного",03121000-5 Продукція рослинництва,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03120000-8 Продукція рослинництва, у тому числі тепличного",03121000-5 Продукція рослинництва,"03121100-6 Рослини живі, цибулини, корені, прищепи та живці"
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03120000-8 Продукція рослинництва, у тому числі тепличного",03121000-5 Продукція рослинництва,03121200-7 Квіти зрізані
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,"03120000-8 Продукція рослинництва, у тому числі тепличного",03121000-5 Продукція рослинництва,03121210-0 Квіткові композиції
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03130000-1 Сільськогосподарські культури для виробництва напоїв і прянощі,,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03130000-1 Сільськогосподарські культури для виробництва напоїв і прянощі,03131000-8 Сільськогосподарські культури для виробництва напоїв,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03130000-1 Сільськогосподарські культури для виробництва напоїв і прянощі,03131000-8 Сільськогосподарські культури для виробництва напоїв,03131200-0 Чайне листя
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03130000-1 Сільськогосподарські культури для виробництва напоїв і прянощі,03131000-8 Сільськогосподарські культури для виробництва напоїв,03131400-2 Какао-боби
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03130000-1 Сільськогосподарські культури для виробництва напоїв і прянощі,03132000-5 Необроблені прянощі,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,03141000-1 Сперма бугаїв,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,03142000-8 Продукція тваринництва,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,03142000-8 Продукція тваринництва,03142100-9 Натуральний мед
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,03142000-8 Продукція тваринництва,03142300-1 Продукти харчування тваринного походження
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,03142000-8 Продукція тваринництва,03142400-2 Воски
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,03142000-8 Продукція тваринництва,03142500-3 Яйця
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,03143000-5 Продукція багатогалузевого господарства,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція",03100000-2 Сільськогосподарська продукція та продукція рослинництва,03140000-4 Продукція тваринництва та супутня продукція,03144000-2 Сільськогосподарські товари,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",,,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211100-4 Пшениця
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211110-7 Пшениця тверда
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211120-0 Пшениця м’яка
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211200-5 Кукурудза
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211300-6 Рис
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211400-7 Ячмінь
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211500-8 Жито
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211600-9 Овес
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03211000-3 Зернові культури,03211900-2 Зернопродукти
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03212000-0 Картопля та сушені овочі,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03212000-0 Картопля та сушені овочі,03212100-1 Картопля
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03212000-0 Картопля та сушені овочі,03212200-2 Бобові овочі та зерна бобових культур сушені
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03212000-0 Картопля та сушені овочі,03212210-5 Бобові овочі сушені
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03212000-0 Картопля та сушені овочі,03212211-2 Сочевиця
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03212000-0 Картопля та сушені овочі,03212212-9 Нут
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03212000-0 Картопля та сушені овочі,03212213-6 Горох сушений
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи",03210000-6 Зернові культури та картопля,03212000-0 Картопля та сушені овочі,03212220-8 Зерна бобових культур сушені
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221100-7 Коренеплідні та бульбоплідні овочі
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221110-0 Коренеплідні овочі
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221111-7 Буряк
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221112-4 Морква
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221113-1 Цибуля
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221114-8 Ріпа
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221120-3 Бульбоплідні овочі
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221200-8 Плодові овочі
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221210-1 Квасоля
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221212-5 Квасоля стручкова
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221213-2 Квасоля багатоквіткова
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221220-4 Горох
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221222-8 Горох зелений стручковий
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221230-7 Перець овочевий
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221240-0 Помідори
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221250-3 Кабачки
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221260-6 Гриби
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221270-9 Огірки
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221300-9 Листкові овочі
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221310-2 Салат латук
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221320-5 Салат листковий
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221330-8 Артишоки
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221340-1 Шпинат
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221400-0 Капустяні овочі
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221410-3 Капуста качанна
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221420-6 Капуста цвітна
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221430-9 Капуста броколі
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03221000-6 Овочі,03221440-2 Капуста брюсельська
"03000000-1 Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","03200000-3 Зернові культури, картопля, овочі, фрукти та горіхи","03220000-9 Овочі, фрукти та горіхи",03222000-3 Фрукти і горіхи,
